"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MID1",3900.83887473455,2.82557529117037,0.0779210590274445,36.262023725514,6.4237562079905e-288,1.30986812837134e-283
"SFRP1",1399.92813995907,5.73865326440708,0.174275981213002,32.9285379687131,8.58395323459756e-238,8.75176952033394e-234
"DPYSL3",1130.11373721972,6.16371669438248,0.210269966122561,29.3133480165675,7.01044982721214e-189,4.76500274755609e-185
"FOXO4",1836.41764378813,3.06989840059898,0.109579087424111,28.01536746439,1.05592196329503e-172,5.38282618838722e-169
"PLTP",981.882925538794,-4.6570384813026,0.167989366142109,-27.7222218778004,3.76883193984786e-169,1.53700504170875e-165
"RPL22L1",1352.33692361677,-3.57896873234551,0.131563377434187,-27.2033813827549,5.92340483016374e-163,2.01306913153115e-159
"BARX1",1016.98043431881,4.23048842376672,0.162198606686796,26.0821502119051,5.81230344921586e-150,1.69312399475658e-146
"BHLHE40",1968.43245191697,-2.34688312030531,0.0948876546541781,-24.7332819939392,4.69172000057507e-135,1.19586078164658e-131
"BMP2",1153.28173079265,3.42048289091786,0.139780403817017,24.4704035581091,3.05258360482307e-132,6.91613692066081e-129
"NUP210",7256.62263654239,-1.55492540741328,0.0679105765502698,-22.8966603789951,5.01614477000343e-116,1.0228420800514e-112
"RPL24",10411.5111097082,-1.43184630149242,0.0625941372734623,-22.8750864515785,8.22632144076775e-116,1.52493564089723e-112
"RPL39P3",4497.37882603391,-2.25081586127988,0.0988787884539908,-22.763384305899,1.05760063149181e-114,1.79712787306245e-111
"RPL32",15318.7477438738,-1.38010167590038,0.0607757909383973,-22.7080825208718,3.72755484700388e-114,5.8468131450197e-111
"NEFM",5132.03306774397,-1.62900254006897,0.0760706140047682,-21.4143472007057,9.82102091461414e-102,1.43043169621355e-98
"RPL39",4258.3249024294,-1.67750146523216,0.07927347163065,-21.16094363885,2.18799791145873e-99,2.974364360837e-96
"CRABP2",664.25642783095,-3.47094496602831,0.164116141040974,-21.1493211088953,2.79941385237549e-99,3.56767799148679e-96
"RPL29",25299.8785953874,-1.32780084349323,0.0645335081978775,-20.5753705411742,4.56230434351322e-94,5.47234987462224e-91
"RPS11",14108.7803494712,-1.64831078687543,0.0811252064580209,-20.3181089927748,8.89367447483545e-92,1.00750509009094e-88
"PRKCB",473.701814294329,5.81635891026266,0.290201519366597,20.0424826270987,2.34761222190759e-89,2.51948214825882e-86
"TSC22D3",7053.87918606854,-1.37835209081162,0.0692026006739511,-19.9176342707949,2.86196612900249e-88,2.91791756682449e-85
"KRT8",1450.51310891135,-2.17442838794656,0.110886302723467,-19.6095309748874,1.28208728856554e-85,1.24490675719714e-82
