"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GABPB1-AS1",2026.85788597979,-1.39599327950077,0.0910497891534296,-15.3321967297294,4.65958178011103e-53,1.33821876166541e-50
"THUMPD3-AS1",771.238178866589,-1.960432701284,0.134694522511875,-14.5546579380105,5.45581524281423e-48,1.24999470355309e-45
"PAXIP1-DT",706.268445100698,-2.10039153718155,0.147818620783933,-14.2092486456878,8.02822391386721e-46,1.68766509100687e-43
"RP5-1074L1.4",508.510557674576,-2.33014009682874,0.164561649764174,-14.1596787597108,1.62736352517579e-45,3.28550194473856e-43
"RP11-57A19.2",466.856175468318,-2.46384164123956,0.175410747503575,-14.0461270264488,8.13636076309285e-45,1.55054703103015e-42
"THAP9-AS1",1534.34608159726,-1.3822535566518,0.099531373831987,-13.8876165718872,7.52995275354037e-44,1.34687075962668e-41
"LINC00665",399.218145379656,2.42767980233129,0.198834608560494,12.2095434990267,2.76435822043569e-34,2.95120567920965e-32
"GAS5",3103.42175694573,-1.04636097102196,0.0875618232515883,-11.949967830335,6.49503734459947e-33,6.30668126160608e-31
"FGD5-AS1",2255.68939357699,-0.997624215078257,0.0861877857688326,-11.5750069012565,5.51668199985908e-31,4.70672228699274e-29
"VPS9D1-AS1",1340.8287061207,1.40862399505892,0.126709175323668,11.1169849496747,1.03718053290023e-28,7.66273487187265e-27
"CTC-338M12.4",356.047894772643,-2.07463291468783,0.191775942062919,-10.818004033098,2.82870538441854e-27,1.87273154200255e-25
"CTC-444N24.11",576.113166566924,-1.67892038270837,0.159535649696848,-10.523794436533,6.71150705055244e-26,4.0133237615195e-24
"HOTAIRM1",659.609525902109,-1.50247604053548,0.150172806918803,-10.0049807376102,1.44919891217131e-23,7.42477764273497e-22
"PRKACB-DT",190.419521313124,-2.94165179969503,0.299269410727393,-9.82944361919639,8.40820100682428e-23,3.95962186443773e-21
"RP11-4L24.4",224.573324984396,-2.44550834048854,0.252203375303688,-9.69657260749906,3.11796763509064e-22,1.38214082711159e-20
"CRNDE",1382.12371600248,-1.06312414434594,0.110808179723678,-9.59427496234524,8.45091576159282e-22,3.58259092088647e-20
"FZD10-AS1",113.190153100305,6.25931094364176,0.65931892826106,9.49360116226386,2.23187699740552e-21,9.10204077081919e-20
"FOXD2-AS1",444.161104242124,-1.5825437970122,0.173620565375979,-9.11495590159592,7.87024737685159e-20,2.81547744318212e-18
"SNHG7",1108.59031746535,-1.17756713508881,0.12992578330489,-9.06338299554813,1.2646604680487e-19,4.40815241093692e-18
"LINC00173",262.453212499893,-2.22238592510317,0.249054047629212,-8.92330779707634,4.52564782863909e-19,1.53479481431399e-17
"CCDC18-AS1",580.762344151919,-1.50032083117569,0.168843721609342,-8.8858550195134,6.34310311641852e-19,2.12036419093262e-17
"AC022007.5",270.784913700442,-1.96771143535889,0.222053999398548,-8.86140957014329,7.90090230707202e-19,2.61963087713017e-17
