"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MKI67",3195.65839517387,-2.89360865078821,0.231797753056952,159.250118146126,1.65002613599537e-36,2.96839701865567e-32
"CLTC",3436.60324667806,-2.30789669479052,0.199269854775436,131.920396146878,1.55740698328515e-30,1.400887581465e-26
"RANBP2",1760.31380927106,-2.68904659024019,0.255397554170088,110.794533881611,6.56324286652111e-26,3.9357579722905e-22
"CPD",1204.48082657105,-2.63588496047593,0.262614366912176,102.963086590265,3.41451456641483e-24,1.53567792624507e-20
"AFF4",1127.76429456559,-2.57746630007835,0.264661496853874,97.2112246700897,6.23124098952007e-23,1.90871273365013e-19
"PRRC2C",2992.239903657,-2.82572890572074,0.287096045307881,97.1688876280659,6.36591239683199e-23,1.90871273365013e-19
"USP9X",4572.13411258862,-2.10107600425369,0.214005627518817,95.2117612852655,1.71070895235313e-22,4.39652200754755e-19
"BAZ1A",911.705878705037,-2.78297547848448,0.294360828447671,89.2276544730675,3.51895291176048e-21,7.91324536032138e-18
"HUWE1",5478.28529366006,-2.08088934234822,0.222549419084321,87.1629167544882,9.99401874598334e-21,1.99769330266934e-17
"STT3B",1674.78445007895,-1.87229590113263,0.200410693735631,86.8976559752876,1.14284741339812e-20,2.05598249670322e-17
"SETX",621.135631262126,-2.81545767731046,0.31422753143888,83.8876971147618,5.23694200908045e-20,8.56478061303247e-17
"CDK12",1075.48919418708,-2.55586441043688,0.284305645753398,82.9726235319431,8.31976858018975e-20,1.24727197298011e-16
"HES4",10831.960337872,1.76779824652327,0.194082029133361,81.775768303218,1.52436096798385e-19,2.10948106261765e-16
"HSBP1L1",352.394955931356,4.68583856323456,0.58136638734893,81.2928181778924,1.9463258936191e-19,2.50102877330054e-16
"UBN2",560.556985377097,-3.63908835508405,0.462688421065334,80.7615679891747,2.54662876823493e-19,3.05425676936976e-16
"ATP13A3",755.523663259637,-2.8765671874588,0.324935463995998,79.3402355060188,5.22840090692921e-19,5.8599998072494e-16
"VPS13A",791.545583989287,-3.19727687300717,0.390192339990631,79.2267500939975,5.53752066277042e-19,5.8599998072494e-16
"LIFR",377.607583405191,-3.48107674670706,0.414209891980731,78.9019301233043,6.52709551862816e-19,6.52346935445115e-16
"ZDHHC20",602.042932858416,-2.42155330622835,0.274889795655724,77.9017698905315,1.08294303869893e-18,1.02537606664177e-15
"C11orf96",485.115857515569,2.59004968347336,0.292767277115864,77.099522782165,1.62556594479613e-18,1.46219656734412e-15
"PRKDC",7602.16344155369,-2.24963239251791,0.255008580592365,76.9245989222962,1.77611058239643e-18,1.52153473225294e-15
"XPO1",2863.40505357533,-1.86675129104113,0.212289270551673,76.6314950899745,2.06027575889138e-18,1.68474367738436e-15
