"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PAXIP1-DT",733.268759126151,2.15268962613374,0.252933509056119,71.4753153988846,2.80748536388108e-17,1.5783331780069e-14
"FLJ37453",964.273788688163,2.75541411068017,0.340154094763595,63.768602352753,1.3992601037377e-15,5.47232375353069e-13
"HOTAIRM1",1967.06683623278,2.20878727481034,0.277976890755487,61.9403051404259,3.54028523667472e-15,1.20169304542978e-12
"LINC01003",521.623816714134,2.31694529529285,0.29428596931547,61.0863939032327,5.46243486747321e-15,1.81980006047858e-12
"LINC01605",2177.30948640969,1.4171086857124,0.192805731382255,53.6631521973305,2.37985163699926e-13,5.09684892257341e-11
"TFIP11-DT",375.845176106402,2.15932486751033,0.297644927583351,52.1478556225978,5.14750332002825e-13,9.85144518375619e-11
"URB1-AS1",1095.78598706041,2.02578347547193,0.287925549002201,49.0662238147017,2.47464929222806e-12,3.9397292714321e-10
"CTC-338M12.4",403.835430061408,2.35614528608781,0.338852906677982,47.5859993486778,5.26431101416658e-12,7.63749638264973e-10
"GABPB1-AS1",804.808589752661,1.61407608271572,0.242433644609968,44.04024780093,3.21692644135871e-11,3.6170316675027e-09
"HOXC-AS1",176.470311960947,2.60755379679537,0.405791551793531,40.9106128864071,1.59353419058178e-10,1.44058693912393e-08
"RP3-402G11.26",1233.86684515681,1.96451131744153,0.305989322181858,40.6788527818289,1.79418380491035e-10,1.59001806159296e-08
"RP11-110G21.1",293.94403461587,2.08591787950379,0.332235138557912,39.1503058403321,3.92401788931676e-10,3.16560905061922e-08
"GABPB1-IT1",319.687161736966,2.26112333575825,0.371026977124242,36.6142973655298,1.43971871939035e-09,9.81081051584557e-08
"PRKACB-DT",160.63902812739,3.00671560536355,0.495209686759286,36.0802338946661,1.89357884151489e-09,1.22537709923931e-07
"RP11-660L16.2",736.888527349796,1.68236461825739,0.28214071182269,35.3002629338542,2.82593903824095e-09,1.7292055543522e-07
"C10orf95-AS1",1013.71704058224,1.48092932858957,0.251071545029058,34.5213752170322,4.21596046994217e-09,2.37759024621504e-07
"RP11-146F11.1",471.928633959267,2.52559895123839,0.428915388470088,33.8910379289034,5.82865731467985e-09,3.18715942526111e-07
"ZNF436-AS1",155.239741843103,2.51700304112568,0.43167589875938,33.7232414237891,6.35370275646037e-09,3.4428648370097e-07
"RP11-115C21.2",406.457949923598,1.69272686342342,0.294671065810401,32.8706445696126,9.84994654830844e-09,5.07737932389882e-07
"RP11-352M15.2",301.384843823486,1.88088355351599,0.326872920922461,32.829468973559,1.00608049272823e-08,5.17125373262311e-07
"TBX2-AS1",618.909636042392,2.41191581714621,0.420366093632329,32.2279113188153,1.37106943399079e-08,6.6663619236471e-07
"LINC01703",283.454014165623,1.86596376438667,0.33216236489387,31.5304433649806,1.9633781680047e-08,9.12691815049213e-07
"LINC01089",299.678522692063,1.89996042649419,0.339142086547079,31.0698350562565,2.48909684935631e-08,1.11667960897556e-06
"PRSS30P",278.11956450674,2.33182777324153,0.416089358843534,30.8593292694371,2.77425246572258e-08,1.22928083394949e-06
"SNHG3",1568.28850916652,1.35895862685026,0.245773031894933,30.3396232425518,3.62641779983553e-08,1.53866170327927e-06
"RP5-908M14.9",285.548722775566,1.81151397021628,0.329806331772484,30.0625506738303,4.18332262164192e-08,1.73805944488079e-06
"GATA6-AS1",181.022963729752,2.13296099303435,0.39638572598221,28.7038391384751,8.43363743022796e-08,3.29113096246857e-06
"ZNF295-AS1",79.9327082506533,2.8771909646647,0.538971604220153,28.2319505980062,1.07613445897613e-07,3.99992952830176e-06
"AC009133.12",121.553197197089,2.61349844588609,0.499508162626356,27.2555188223785,1.78265576146736e-07,6.05093908467882e-06
"RP11-326C3.2",191.567729975168,2.47938112123002,0.478341798699693,26.5857613018775,2.5209484532438e-07,8.06972645442277e-06
"TYMSOS",632.523842037572,1.44405521274475,0.279705758336074,26.5796473341194,2.52893893404817e-07,8.08092565249139e-06
"CAHM",58.9188506155342,4.35308252989048,0.829092442144713,26.5695542937187,2.54218533675696e-07,8.10885003692511e-06
"SCAMP1-AS1",287.052891528113,1.78748058529273,0.346422848592925,26.448384799755,2.70674714537188e-07,8.5729544269789e-06
"DICER1-AS1",254.362557039745,1.73103625826488,0.335453630164869,26.4194650134297,2.74757669080196e-07,8.61130743336712e-06
"WASL-DT",289.299526683603,2.06889136327747,0.402747889499466,26.3538532312585,2.84251259811187e-07,8.84719751557657e-06
"INSIG1-DT",200.544507995144,2.18084446570904,0.426393909550823,25.8147282318652,3.75809799787907e-07,1.1286841900141e-05
"MINCR",610.314612739406,1.91335707250782,0.376100344067929,25.6811094408961,4.02750222629134e-07,1.19958220283082e-05
"RP11-12G12.8",90.7800598365267,3.35387767252597,0.658225908687157,25.6605784054606,4.07057967545879e-07,1.20642056608737e-05
"SNHG7",2685.30871537304,1.26683277173392,0.249704291218806,25.5658090010551,4.275486297198e-07,1.26091800797692e-05
"ILF3-DT",1040.98601367623,1.79403953440146,0.352473138792855,25.5625684666027,4.28267280170121e-07,1.26097027336505e-05
"RP11-515I12.1",1209.95831270956,1.544386764367,0.305739518763382,25.3468229790855,4.78940552704013e-07,1.38520223466909e-05
"ZNF503-AS2",1443.0693252835,1.16283728166576,0.230440380938297,25.3437651243759,4.79700384768672e-07,1.38520223466909e-05
"RP4-773N10.4",137.432277165622,-4.21254266025058,1.11743346431478,25.19306938262,5.1868257885308e-07,1.48584388432594e-05
"RP5-1074L1.4",219.106228300421,-2.73180012652383,0.596086478735616,25.0168925779179,5.68302235017623e-07,1.59746206374485e-05
"RP11-111M22.3",399.694624214806,1.53733082251858,0.308570014809929,24.8530674869263,6.18705142116973e-07,1.71502396096831e-05
"CTA-29F11.1",309.445658958847,2.4129598366699,0.482538221033471,24.6303302732568,6.94500061698876e-07,1.89591139756643e-05
"TMED2-DT",144.326594047806,2.41636219956981,0.483387779942041,24.632864771665,6.93587268515591e-07,1.89591139756643e-05
"CTB-129O4.1",104.073200617614,2.80444350997779,0.563700652655847,24.523473021541,7.34100521748423e-07,1.96524827176401e-05
"CTC-524C5.2",51.6325757985863,-6.42060448864532,1.57851473663168,24.4284490087853,7.71213904622583e-07,2.0431375472182e-05
"SBNO1-AS1",123.314655205742,2.57519319996757,0.520549563553398,24.2577055576015,8.42692777365898e-07,2.18130116040468e-05
"SNHG8",1256.79970346893,1.21600969263088,0.247087824106733,24.109446842661,9.10127155054604e-07,2.3356900883641e-05
"TOLLIP-AS1",129.418767786254,2.56544082305318,0.530693330657458,23.3975755304442,1.31744476180162e-06,3.17307163852587e-05
"LINC00641",245.53831700775,-2.67333386974503,0.5842922229897,22.6365735183273,1.95723158743411e-06,4.46007479701105e-05
"FLJ31104",22.8849976536214,5.09664766642622,1.09285866126744,22.359835494285,2.26052374614148e-06,5.03947262499754e-05
"LINC01023",111.992264266384,2.91073048438168,0.614341846083292,22.2462302594312,2.39829174986044e-06,5.30040154545324e-05
"TAGAP-AS1",135.077201931505,1.97944669982073,0.420416495936867,22.0602535523032,2.64224474574844e-06,5.74776094026776e-05
"XXbac-B135H6.18",111.473265936427,2.60914343224549,0.561773660669526,21.889357392072,2.88831347783857e-06,6.20056795540763e-05
"SNHG19",249.864958263096,2.04836376954452,0.436252527389252,21.8126271755501,3.00615204702854e-06,6.40007992024183e-05
"RP11-412D9.4",101.750825245217,2.28140270459756,0.496823265064886,21.0072111838774,4.57557950637259e-06,9.08550500216809e-05
"LINC00294",203.758735889052,-1.92270484154537,0.424680571667207,20.9120240656988,4.8086668044372e-06,9.43068061726316e-05
"MHENCR",643.124634157072,1.89698194074908,0.411757726820393,20.9047644009488,4.82692536067863e-06,9.4490084046364e-05
"PXN-AS1",434.179555560541,1.54970199252616,0.33830167806673,20.8441444906372,4.98213044011859e-06,9.71056626410979e-05
"SNHG10",331.848068201907,1.92238986970119,0.42003711810635,20.68850564447,5.4039424545503e-06,0.000104310005104463
"SERTAD4-AS1",218.324543776716,2.06814260508913,0.453354925237757,20.6785306730201,5.43216792027945e-06,0.000104459505893451
"LINC01311",78.9675133128029,2.54798789101729,0.56393898045042,20.2010214803076,6.97156987142426e-06,0.000129832859199713
"CRNDE",1652.56493588994,1.73686007958613,0.384114444370026,20.160179511536,7.12202130261727e-06,0.000131951232612871
"KMT2E-AS1",108.898876847413,2.60059763779536,0.581670352363323,19.7241497914188,8.94636395520203e-06,0.000159985176495114
"MELTF-AS1",101.958975139185,2.55497422507731,0.570566008327763,19.7149736968015,8.98942368660496e-06,0.000160595563179765
"PDCD4-AS1",94.1321374653139,2.29185404572582,0.514381190910048,19.7065424810033,9.02917140715356e-06,0.000160826528331379
"CNN3-DT",133.407095392041,2.17220073177812,0.487983300491368,19.5899421751092,9.59731031676022e-06,0.000169270208429918
"RP3-395C13.2",19.116586745814,7.22129730689807,1.78566757174346,19.5188104756196,9.96139114369215e-06,0.000174324345014613
"CTC-444N24.11",226.781455859008,-2.04774919807345,0.48363996517588,19.5138573668937,9.98725366525471e-06,0.000174607087889147
"LINC00653",50.1244483105622,2.83374396693746,0.648110784096719,18.9711285781353,1.32711455875553e-05,0.000222091078251275
"RP11-179B2.2",98.9425113758749,2.75451247513479,0.631842064328153,18.8601309569783,1.40662032273308e-05,0.000233226724478968
"SNHG6",1924.11575097243,1.00289146183811,0.232394005727042,18.5516805954461,1.65359371529472e-05,0.000266560492277348
"ZNF232-AS1",490.996636702011,1.36169840487326,0.316110562104686,18.5234733941701,1.67824638177161e-05,0.000269568325072064
"RP11-150O12.3",26.4507856493499,3.8842927523206,0.904820597374843,18.4839848067288,1.71338026801956e-05,0.000274469049568626
"AC079922.3",63.4580028156243,2.70753903789875,0.631472547041011,18.2040164804312,1.98459867224929e-05,0.000309921268348652
"THAP7-AS1",672.178198704551,1.19505541300557,0.279755450024841,18.1930639949085,1.99604437023848e-05,0.000311168442119499
"RP11-262H14.13",59.7139150365177,2.753589894525,0.645675470819654,18.1030929664617,2.09261237186106e-05,0.0003242557844081
"RP11-373D17.4",83.7405833855425,2.37968594045725,0.563220622188207,17.9510763845884,2.26656207037064e-05,0.000346435443041358
"RP3-462D8.2",209.772490552132,1.6978964332805,0.405545832072061,17.4656656217137,2.9254357343218e-05,0.000431028573795653
"RP11-467P9.1",16.2376026050811,5.34498838741474,1.30769886008109,17.3180943194007,3.16161990081974e-05,0.000458689854965703
"YTHDF3-DT",115.220563811383,2.13263681467954,0.517582539824037,17.1325062478844,3.48605345381039e-05,0.000495763649281019
"RP11-465L10.14",68.896214046248,3.51656676517314,0.84878680508481,16.9494967286056,3.83874949449655e-05,0.000536589770054335
"LINC02814",16.4095736317244,6.57270614461661,1.83907033619837,16.8994489167092,3.94130235927295e-05,0.000548792797548919
"CTD-2589M5.5",44.0944690612465,3.5213706285475,0.853231736490069,16.8963059777724,3.947833702637e-05,0.000549277094434955
"CH17-172B3.1",151.982954984435,1.84134159434035,0.449224234422064,16.8530688818726,4.03879705230853e-05,0.000559835726214807
"OTUD6B-AS1",1008.4163651396,0.865079207164554,0.211420407683594,16.7034694931909,4.37010040457808e-05,0.000600138215865341
"RP11-1017G21.5",127.528312747639,1.9629686158095,0.481561056665917,16.5404636041349,4.76228808565963e-05,0.00064610529910269
"GTSE1-DT",83.6576331932218,2.94768895311676,0.720600826735675,16.42047965302,5.07341186854669e-05,0.000679097317821093
"LINC02298",61.212702066432,3.16911560143192,0.775713940409189,16.3523250161904,5.25916041495199e-05,0.000701351340733776
"RP11-572M11.4",27.5184098616798,-5.10216094552672,1.64351145367379,16.3220086747428,5.34396756941175e-05,0.000712133159805314
"AC002310.14",102.84797481188,1.9716314815075,0.488283130716058,16.320525479877,5.34815177716736e-05,0.000712163215923322
"RP1-239B22.5",190.970417753403,-1.82676870097937,0.452682067896163,16.2692145878024,5.49495027718619e-05,0.000726980603350024
"HOXA11-AS",526.415656758473,1.14960038842028,0.285229873333097,16.1859407285226,5.74186886734378e-05,0.00075619488230977
"AP000648.5",98.8439046870751,-2.82141895117581,0.751131790794691,16.1675780496755,5.79780126081993e-05,0.000762272575090837
"RP11-214N9.1",54.53494601302,2.96408610540493,0.742948466566146,16.163077749893,5.81159249086955e-05,0.000763142692779147
